SETOR;SIGLA;CIDADE
GERENCIA EXECUTIVA DA DIVERSIDADE E INCLUSAO;GEDI;João Pessoa
GERENCIA EXECUTIVA DA EDUCACAO DE JOVENS E ADULTOS;GEEJA;João Pessoa
GERENCIA EXECUTIVA DA EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;GEEIEF;João Pessoa
GERENCIA EXECUTIVA DA EDUCACAO PROFISSIONALIZANTE;GEEP;João Pessoa
GERENCIA EXECUTIVA DE ACOMPANHAMENTO DA GESTAO ESCOLAR;GEAGE;João Pessoa
GERENCIA EXECUTIVA DE ASSISTENCIA ESCOLAR INTEGRADA;GEAESI;João Pessoa
GERENCIA EXECUTIVA DE DESENV ESCOLAR ACOMPANHAMENTO E APOIO A GESTAO PARA RESULTADOS DE APRENDIZAGEM;GEDRA;João Pessoa
GERENCIA EXECUTIVA DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO;GEDCT;João Pessoa
GERÊNCIA EXECUTIVA DE EDUCAÇÃO DAS ESCOLAS CIDADÃS INTEGRAIS;GEECI;João Pessoa
Gerência Executiva de Educação das Escolas Cidadãs Técnicas;GEECT;João Pessoa
GERENCIA EXECUTIVA DO ENSINO MEDIO;GEEM;João Pessoa
Gerência Executivo de Cooperação com os Municípios para Desenvolvimento da Aprendizagem;GECMD;João Pessoa
Gerência Executivo de Desenvolvimento e Protagonismo Estudantil;GEDPE;João Pessoa
Gerência Executivo de Formação e Desenvolvimento dos Profissionais da Educação;GEFDP;João Pessoa
GERENCIA OPERACIONAL DA EDUCACAO INFANTIL;GOEI;João Pessoa
GERENCIA OPERACIONAL DE ACOMPANHAMENTO DO ENSINO FUNDAMENTAL;GOAEF;João Pessoa
Gerência Operacional de Acompanhamento e Desenvolvimento da Gestão Pedagógica;GOADP;João Pessoa
GERENCIA OPERACIONAL DE ACOMPANHAMENTO E ORIENTACAO A ESCOLA;GOAOE;João Pessoa
GERENCIA OPERACIONAL DE ASSISTENCIA AO ESTUDANTE;GOAE;João Pessoa
Gerência Operacional de Avaliação Educacional e Desenvolvimento Acadêmico;GOAED;João Pessoa
